prefecture	1st-time	2nd-time	3rd-time	4th-time
北海道	76.52	75.99	65.80	14.27
青森県	81.74	81.21	70.24	13.70
岩手県	81.10	80.53	71.52	15.86
宮城県	78.37	77.86	66.75	16.12
秋田県	82.36	81.92	74.18	10.00
山形県	81.91	81.43	72.11	14.56
福島県	80.30	79.70	70.27	16.07
茨城県	80.38	79.81	67.78	17.47
栃木県	79.45	78.83	67.12	16.09
群馬県	77.26	76.69	65.71	14.58
埼玉県	78.89	78.18	64.36	13.98
千葉県	78.77	78.18	65.58	14.62
東京都	77.44	76.80	62.38	15.10
神奈川県	78.48	77.96	63.71	14.64
新潟県	80.79	80.34	71.70	13.47
富山県	80.46	80.03	68.01	17.43
石川県	77.09	76.62	64.63	14.04
福井県	77.58	77.05	66.11	12.92
山梨県	78.07	77.58	65.59	15.92
長野県	78.73	78.26	68.46	17.74
岐阜県	77.75	77.35	65.98	18.48
静岡県	80.93	80.38	65.74	14.18
愛知県	74.73	74.24	60.45	13.45
三重県	77.41	76.96	64.01	12.59
滋賀県	77.32	76.79	62.43	13.62
京都府	74.77	74.30	60.45	13.60
大阪府	73.47	73.02	57.15	12.48
兵庫県	75.60	75.14	60.82	13.91
奈良県	76.15	75.72	63.09	14.98
和歌山県	73.82	73.43	63.32	14.54
鳥取県	73.91	73.37	63.15	15.57
島根県	78.08	77.60	67.28	12.06
岡山県	73.20	72.66	62.64	12.68
広島県	74.08	73.60	61.41	14.66
山口県	75.45	75.02	66.98	17.51
徳島県	74.74	74.28	65.29	14.27
香川県	74.64	74.22	62.96	13.90
愛媛県	76.31	75.79	65.46	17.34
高知県	74.55	73.84	63.07	15.81
福岡県	75.33	74.56	60.49	14.26
佐賀県	73.27	72.78	61.61	16.33
長崎県	76.65	76.09	66.82	14.71
熊本県	76.37	75.85	65.80	14.64
大分県	74.82	74.21	64.24	14.60
宮崎県	74.65	74.05	62.69	13.94
鹿児島県	75.17	74.52	64.79	15.05
沖縄県	66.63	65.88	47.29	9.12

